track_id,track_name,artist_spotify,macro_genre,danceability,energy,valence,popularity,year
7EqpEBPOohgk7NnKvBGFWo,Wait for It,Leslie Odom Jr.;Original Broadway Cast of Hamilton,Other,0.543,0.473,0.519,69,2020
7F5O2pMgNNjONTbdqQx9b3,IDGAF (feat. Morrisson),Sidhu Moose Wala;Morrisson,Hip-Hop/Rap,0.771,0.779,0.535,56,2021
7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),Eminem;Juice WRLD,Hip-Hop/Rap,0.808,0.745,0.829,83,2020
7FdUvDkaE24o3FPIWTvzv2,Follow You,Imagine Dragons,Rock/Alternative,0.542,0.732,0.489,73,2021
7FjIYiD53wxlQmzTT6Wdpf,space girl,Frances Forever,Pop,0.669,0.395,0.196,69,2020
7FpABRyv5TaZz0llkhjPgc,色香水,Yoh kamiyama,Pop,0.613,0.857,0.698,59,2021
7HFGvz6pWt8RW3sA6Orl3k,Bandaids,Jxve;Brxndead,Other,0.643,0.727,0.406,37,2020
7HPM13Xek5XoRWxRzHfvkB,Dil Galti Kar Baitha Hai,Jubin Nautiyal;Meet Bros.;Shardul Rathod,Pop,0.612,0.78,0.554,67,2021
7HRvfjNicVkQnohrpOvjjL,Chithiyaan,Karan Aujla,Hip-Hop/Rap,0.623,0.638,0.659,57,2020
7HneEBTvTra2CRYsxgMOAi,ハルジオン,YOASOBI,Pop,0.686,0.902,0.901,62,2020
7IL8PSVwLOJxqYne6azxQv,Pretty Boy,The Neighbourhood,Rock/Alternative,0.578,0.386,0.569,75,2020
7IvxwaADtpY4PQB11yt9oF,Eu Vou Tirar Você do Cabaré,Israell Muniz;Wesley Safadão,Other,0.743,0.764,0.916,39,2021
7JdEX5CkWNaPB9jLFFrMli,every little thing every precious thing,LINDBERG,Pop,0.447,0.78,0.477,38,2020
7KwFRmkfw7cUZIUqNxeuxw,Wake Up,Elaine,Rock/Alternative,0.768,0.873,0.771,50,2020
7LVsLHXVLscS5xY7q50TLT,Koko de Iki wo Shite,eill,Other,0.671,0.76,0.796,54,2021
7MAS0yiC3a4YX2gatvkEuK,Да да да - Jarico Remix,Tanir;Tyomcha;Jarico,Pop,0.774,0.907,0.691,57,2021
7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd;Daft Punk,Pop,0.679,0.587,0.486,90,2021
7MtpW10epOD3sUtURL5ZDu,Nobody,DJ Neptune;Joeboy;Mr Eazi,Electronic/Dance,0.707,0.866,0.768,50,2020
7N3PAbqfTjSEU1edb2tY8j,Jump - 2015 Remaster,Van Halen,Rock/Alternative,0.572,0.835,0.795,78,2020
7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,salem ilese,Pop,0.738,0.621,0.715,72,2020
7aonAWn0J0AJ47ZU9WHCXC,INFERNO,Sub Urban;Bella Poarch,Pop,0.82,0.611,0.637,70,2021
7b7QqKepv8wY6VopSmQqX8,No.1,DISH//,Other,0.495,0.878,0.621,55,2021
7bcy34fBT2ap1L4bfPsl9q,I Didn't Change My Number,Billie Eilish,Other,0.849,0.48,0.677,75,2021
